IUPAC,ACG,CTB,DC_SIGN,Gal4,LCA,MAL,NPL,PSA,SBA,SNL,UEA
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,11.99735,190.3215,55.917175,13.993075,33.276275,166.786325,14.97055,17.994375,-3.11625,-5.5035,33228.12388
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,28.056825,345.5179,48.27045,24.50635,34.326275,57.9242,15.043075,14.3965,-10.55975,-5.243775,18625.87378
Fuc(a1-2)Gal(b1-Sp8,22.479,307.4429,54.734675,17.213925,28.166425,34.9755,6.7904,15.0731,1.4803,78.0979,1182.279325
Fuc(a1-3)GlcNAc(b1-Sp8,15.02095,129.800975,55.215025,11.26715,18.0285,14.420775,6.567525,14.5936,-4.3805,-3.984225,1476.6283
Fuc(a1-4)GlcNAc(b1-Sp8,5.99475,75.4669,68.8584,7.55175,701.31495,-22.622075,2.1355,2.079575,-6.41255,-1.3231,945.653075
Fuc(b1-3)GlcNAc(b1-Sp8,30.786325,104.4548,203.20845,17.947,16.0587,17.149225,11.514525,9.6439,0.56495,4.95145,8.2087
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,26.00865,63.6878,38.414275,608.6901,58.090275,40.08255,14.827925,10.30935,-14.996875,-7.527675,6.49185
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,36.927475,168.30575,612.819625,8.451475,92.02575,81.225575,38.5,22.67355,-7.3858,0.122275,75.906325
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,20.139075,186.4447,58.5092,8.812375,5.55595,72.55975,34.2442,32.94065,-17.345075,-3.3405,-0.757475
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,28.50415,59.6985,74.09565,354.714425,20.016625,-1.89395,44.21355,-1.692275,-25.370375,0.4509,-7.63755
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,25.1278,78.16155,136.5371,555.3418,20.458525,113.696225,45.050875,6.677875,-19.219325,0.032625,-0.982825
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,16.406275,114.1668,102.171975,1676.4635,9.928475,9.0419,19.5377,7.06125,-13.305725,0.160525,11.617425
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,384.2817,91.29955,99.428225,16.137625,7.001375,131.28145,16.255875,13.369225,-10.9968,10.5381,4.860325
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,11.944425,42.557075,89.779475,6.2631,19.8325,1.37825,2.948575,7.483875,-21.6522,1.098675,-14.21185
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,-3.26525,115.2524,31.5493,8.983125,19.8125,-46.588925,15.18925,6.019375,348.254475,66.084975,-7.161025
GalNAc(a1-3)GalNAc(b1-Sp8,10.76975,75.0677,13.965625,6.884925,17.447475,-16.8079,21.446225,3.55875,20817.68108,14.454325,-9.804975
GalNAc(a1-3)Gal(b1-Sp8,23.379625,248.58695,30.43615,18.703,19.301225,89.9565,18.0957,12.3105,23039.50745,-0.3673,1.56625
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,6.185825,64.99465,200.071775,10.95695,12.527475,-10.376625,229.429075,9.35025,12885.74318,2.200125,36186.71323
GalNAc(b1-3)GalNAc(a1-Sp8,172.596475,50.048,19.1656,5.217675,13.804975,-38.5952,-0.2596,10.23725,-3.8263,4.48705,-7.951375
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,26.928325,44.21715,23.52265,13.91515,49.91155,18.06485,12.129875,19.395625,4026.75185,-6.097675,-15.30995
