IUPAC,ACG,CTB,DC_SIGN,Gal4,LCA,MAL,NPL,PSA,SBA,SNL,UEA
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,0.024792706,0.001370373,0.002456012,0.006725495,0.844702571,0.003286231,0.228108511,0.005390517,0.005706479,0.002241464,0.001013797
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,0.013499026,0.033531057,0.012531742,0.006386664,0.024009486,0.002999537,0.064196772,0.005421383,0.002007912,0.001868349,0.00107143
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,0.011466359,0.003147213,0.002787031,0.007599666,0.003185729,0.004205952,0.001309762,0.005410966,0.00199021,0.553634212,0.001165106
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,0.01453223,0.001879403,0.009425278,0.010301612,0.009443245,0.002238731,0.00203413,0.005560297,0.002462626,0.686936753,0.001541891
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,0.036295118,0.001369185,0.01051923,0.008008572,0.010076481,0.003587473,0.002443144,0.005805754,0.002212321,0.790695378,0.001338392
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,0.030257327,0.02149722,0.002398623,0.007165102,0.00177126,0.024950454,0.001966594,0.005916812,0.002315003,0.001943217,0.001750663
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,0.024109819,0.002749211,0.003001294,0.007677179,0.000751578,0.005871894,0.001336173,0.006317426,0.002057531,0.006510296,0.000992523
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,0.00489592,0.004125557,0.016751694,0.007783711,0.000629661,0.004845955,0.001217466,0.005837703,0.001852186,0.001894419,0.00135283
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,0.016815306,0.002677259,0.004784727,0.009715162,0.000848144,0.003414172,0.001007621,0.005499498,0.001905188,0.00705017,0.001143319
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,0.016706026,0.002251961,0.00339201,0.01101658,0.000610962,0.004098125,0.001707571,0.005469167,0.001611139,0.076128333,0.001229002
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,0.011285008,0.484300944,0.01242842,0.010168781,0.001579057,0.003951331,0.002244109,0.006836795,0.001892674,0.004971866,0.001160524
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,0.005482981,0.722593622,0.001308722,0.01142611,0.000686538,0.003368111,0.00120295,0.005947455,0.001842438,0.001997849,0.001344762
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,0.02478053,0.002494193,0.005163763,0.256807506,0.000881775,0.004308634,0.001001668,0.0053239,0.00168632,0.002120204,0.001579146
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,0.012645246,0.003881323,0.004282492,0.203802395,0.000687147,0.003130847,0.001012135,0.005540507,0.0019769,0.007519333,0.001444585
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,0.021005617,0.00191192,0.003438762,0.015123859,0.000752478,0.004478378,0.001157398,0.005667039,0.001302226,0.002449293,0.001709789
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,0.013285231,0.004651066,0.003539137,0.010237368,0.000487948,0.002715872,0.001420614,0.005623557,0.002035863,0.001942969,0.001394816
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,0.020404857,0.234166792,1,0.008386033,0.001094928,0.003492292,0.001321387,0.005840061,0.001659248,0.001985695,0.001972384
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,0.028764912,0.271534989,0.592163554,0.007530722,0.000837402,0.008024268,0.002052337,0.006083568,0.001963231,0.003189143,0.001672044
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,0.018053126,0.136873746,0.20064339,0.006179251,0.001136566,0.002847213,0.001048326,0.005419483,0.001702878,0.001949252,0.521712791
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,0.02457094,0.251532928,0.006355152,0.007121192,0.000794069,0.006129219,0.001042269,0.005289642,0.001993322,0.001945157,0.467009503
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,0.011090168,0.215724106,0.005726396,0.013046472,0.00052964,0.005714379,0.001408895,0.005335793,0.002251047,0.00196765,0.124187501
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,0.021503019,0.378297838,0.006076964,0.012112697,0.001232539,0.00343894,0.001281816,0.005387213,0.002334874,0.001937054,0.064491137
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,0.014816537,0.146038033,0.007950571,0.005243647,0.000766708,0.004382556,0.001673969,0.006268397,0.002080973,0.001958444,0.525427154
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,0.015317793,0.005589993,0.010484674,0.010849567,0.001097333,0.00731945,0.001532373,0.00612397,0.002249755,0.00188341,0.688733595
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,0.026571285,0.010429024,0.009035392,0.017104842,0.001119558,0.004734863,0.001535046,0.005931771,0.002054159,0.00188848,0.386593289
Fuc(a1-2)Gal(b1-Sp8,0.022662689,0.009241844,0.010260555,0.012765935,0.000989171,0.004190019,0.001230841,0.005967915,0.00237054,0.003515112,0.025661725
Fuc(a1-3)GlcNAc(b1-Sp8,0.017436546,0.00370296,0.010351595,0.009227673,0.000774578,0.003702012,0.001222625,0.0059423,0.002216534,0.001913063,0.031752204
Fuc(a1-4)GlcNAc(b1-Sp8,0.01111154,0.002008821,0.012937421,0.007017054,0.015237918,0.002822547,0.001059254,0.005273798,0.002163137,0.001965002,0.020765608
Fuc(b1-3)GlcNAc(b1-Sp8,0.028483951,0.002912665,0.038400757,0.013202106,0.000732883,0.00376679,0.001404979,0.005677886,0.002346487,0.002087466,0.001368616
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,0.02513605,0.001641548,0.007167353,0.364687332,0.001622578,0.00431127,0.001527115,0.005713434,0.001937564,0.001843903,0.001333092
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,0.032787291,0.004903541,0.116034273,0.00755238,0.002340901,0.00528808,0.002399702,0.006373933,0.002137562,0.001993212,0.002769372
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,0.021023013,0.005469114,0.01097594,0.007767111,0.000510568,0.005082338,0.002242827,0.006922403,0.001875859,0.001925627,0.001183094
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,0.026884743,0.001517161,0.013930036,0.21357478,0.000816662,0.00331467,0.002610312,0.005072304,0.001664975,0.001999626,0.001040736
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,0.024518805,0.00209284,0.02576455,0.332945718,0.000826015,0.006058993,0.002641177,0.00551944,0.001826609,0.001991463,0.001178431
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,0.018407296,0.003215485,0.019251336,1,0.000603122,0.003574307,0.001700724,0.00553992,0.001982002,0.001993959,0.001439147
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,0.276191765,0.002502483,0.018731314,0.012125549,0.000541164,0.006476499,0.001579752,0.005876893,0.002042675,0.002196505,0.001299334
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,0.015280706,0.000982691,0.016902588,0.006250322,0.000812764,0.003392358,0.001089225,0.005562497,0.001762679,0.002012269,0.000904705
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,0.004622702,0.003249335,0.005866236,0.007868705,0.000812341,0.002253529,0.001540434,0.005484263,0.011482846,0.003280648,0.001050596
GalNAc(a1-3)GalNAc(b1-Sp8,0.014457566,0.001996374,0.002533606,0.006620301,0.000762279,0.002960586,0.001771075,0.005352815,0.549365093,0.00227294,0.000995889
GalNAc(a1-3)Gal(b1-Sp8,0.023293791,0.007406712,0.005655261,0.013651917,0.000801518,0.005495369,0.00164757,0.005820336,0.607748798,0.001983657,0.001231175
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,0.011245434,0.001682295,0.037806263,0.009043108,0.000658136,0.003113276,0.009437624,0.005662199,0.3409348,0.002033767,0.749950811
GalNAc(b1-3)GalNAc(a1-Sp8,0.127855781,0.001216258,0.003519156,0.005628307,0.000685178,0.002443315,0.000970967,0.005709582,0.002231097,0.002078402,0.001034242
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,0.025780502,0.001034452,0.004344947,0.010803202,0.001449457,0.003788529,0.001427661,0.006198825,0.108144002,0.001871814,0.000881983
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,0.017229145,0.000556728,0.005612484,0.018578048,0.001444864,0.00370161,0.001531909,0.006343049,0.045026785,0.001443621,0.000909898
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,0.035376712,0.001808485,0.046749169,0.010291408,0.001088739,0.004507973,0.003367584,0.005462215,0.002138926,0.001652475,0.001315522
GalNAc(b1-4)GlcNAc(b1-Sp0,0.015280811,0.000807052,0.010865742,0.019044698,0.000832731,0.003744932,0.009564709,0.006726151,0.667528384,0.001585425,0.000950571
GalNAc(b1-4)GlcNAc(b1-Sp8,0.010263612,0.00327026,0.027358212,0.012314309,0.001268336,0.003990045,0.012721921,0.006488256,0.400456129,0.002093806,0.002653824
Gal(a1-2)Gal(b1-Sp8,0.025357431,0.005161038,0.003807255,0.007997758,0.000777891,0.005614126,0.001405061,0.005472075,0.001973766,0.002181701,0.001234272
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,0.018411168,0.017632031,0.00580435,0.334271456,0.000856251,0.011193324,0.001151329,0.005861853,0.002166041,0.002934019,0.001133239
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,0.037026846,0.004265992,0.015679704,0.258272933,0.005035897,0.004832827,0.002062295,0.008481573,0.002245391,0.002347079,0.001262018
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,0.031646051,0.006780549,0.003926853,0.010275448,0.002100203,0.012455422,0.002716724,0.006698952,0.002641352,0.002119072,0.002488837
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,0.022582296,0.003429038,0.008386949,0.004831558,0.001429149,0.004881944,0.001204043,0.005660459,0.002285746,0.002046592,0.001345549
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,0.016915845,0.003990451,0.001300421,0.389434561,0.001006568,0.00695465,0.001321282,0.005762816,0.002014006,0.001842341,0.001395642
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,0.026060096,0.007828571,0.010746519,0.62453392,0.000437269,0.006137849,0.001583185,0.005553223,0.002057008,0.002096524,0.0013643
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,0.014197225,0.003889656,0.01084578,0.017608842,0.000979246,0.004165509,0.001495695,0.006052528,0.002446039,0.001829952,0.001263268
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,0.013311036,0.000989719,0.176665219,0.009345585,0.00073359,0.003414981,0.000985127,0.005567222,0.003031588,0.001985188,0.001215566
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,0.015368754,0.001970536,0.014023342,0.013503125,0.002284999,0.003108876,0.004420653,0.005729862,0.001941134,0.001894903,0.001475426
Gal(a1-3)GalNAc(a1-Sp8,0.024635443,0.001201112,0.010651749,0.028933626,0.000925129,0.004546387,0.002433844,0.007792253,0.00286401,0.00198561,0.001178302
Gal(a1-3)GalNAc(a1-Sp16,0.020141659,0.002701121,0.004399308,0.006107689,0.000537838,0.003766847,0.001371888,0.005937093,0.002072514,0.002126243,0.000990514
